ad_owner,city,description,floor,municipality,price,publish_date,room_num,sqr_m,street,suburb,title,url_link
Agencija,Beograd,"Odličan, svetao i prostran stan smešten na top lokaciji u blizini Arene. Stan se sastoji se od dnevne sobe sa trpezarijom, potpuno opremljene...",V,Opština Novi Beograd,1300.0,2023-04-11,3.0,96.0,,Arena,"Prostran i svetao stan, garaža, Arena, ID 3549",https://www.halooglasi.com/nekretnine/izdavanje-stanova/prostran-i-svetao-stan-garaza-arena-id-3549/5425642986926?kid=4
Agencija,Beograd,"Lux sređen stan u novogradnji, svetao, u potpunosti opremljen, moderan, dve spavaće sobe, velika terasa, kupatilo i toalet, lep pogled, garažno mesto...",VI/6,Opština Vračar,1000.0,2023-04-11,3.0,96.0,Južni bulevar,Južni bulevar,"Vračar, novogradnja, garaža, ID 2495",https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-novogradnja-garaza-id-2495/5425642987424?kid=4
Agencija,Beograd,,II/4,Opština Zvezdara,500.0,2023-04-10,3.0,60.0,Mirijevski bulevar,Mirijevo,Mirjevo,https://www.halooglasi.com/nekretnine/izdavanje-stanova/mirjevo/5425642984164?kid=4
Agencija,Beograd,"Izdaje se konforan, namesten stan u naselju Bellvil, po strukturi 2.0 soban i sastoji se od hodnika iz kojeg se ulazi u dnevni boravak, kuhinju,...",III/11,Opština Novi Beograd,1000.0,2023-04-11,2.0,65.0,Jurija Gagarina,Blok 67 (Belvil),"Bellvil,izdaje se namešten stan sa garaznim mestom",https://www.halooglasi.com/nekretnine/izdavanje-stanova/bellvil-izdaje-se-namesten-stan-sa-garaznim-m/5425642987413?kid=4
Vlasnik,Beograd,"Stan je kompletno okrecen i izrazito je svetao jer ima izlaz na obe strane zgrade. Kuhinja i kupatilo su renovirani pre 10 godina, drvenarija je u...",IV/7,Opština Novi Beograd,500.0,2023-04-11,3.0,85.0,Dr Ivana Ribara,Blok 72,"Blok 72, namesten, komforan i svetao stan",https://www.halooglasi.com/nekretnine/izdavanje-stanova/blok-72-namesten-komforan-i-svetao-stan/5425642987302?kid=4
Agencija,Beograd,"Izdaje se luksuzan i nikad useljivan stan na Beogradu na vodi. Ovaj luksuzni dom odlikuje odličnom lokacijom, neposredno pored Savskog parka i...",VIII/21,Opština Savski venac,1200.0,2023-04-10,2.0,53.0,,Beograd na vodi,"Izdavanje PP , 53m2, Beograd na vodi",https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-pp-53m2-beograd-na-vodi/5425642984596?kid=4
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",II/6,Opština Novi Beograd,750.0,2023-04-10,3.0,70.0,Antifašističke borbe,Blok 23,Novi Beograd - Blok 23 ID#51766,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---blok-23-id51766/5425642983100?kid=4
Vlasnik,Beograd,Inverter klima. Stan ima sopstveno dvorište sa kapijom. ,PR,Opština Palilula,500.0,2023-04-11,2.5,50.0,Vladetina,Mašinski fakultet,"Centar, Vladetina, 2.5",https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar-vladetina-2-5/5425642987042
Agencija,Beograd,"Izdaje se kompletno renoviran stan, neuseljavan od renoviranja. Imate jedinstvenu priliku za stan na ovakvoj lokaciji i sa ovakvom cenom. Na samo...",V/8,Opština Savski venac,550.0,2023-04-11,2.0,44.0,,Zeleni venac,"Izdavanje, Povoljno, Zeleni venac",https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-povoljno-zeleni-venac/5425642987401?kid=4
Agencija,Beograd,"Izdaje se dvosoban namešten stan na Konjarniku. Stan je nov, kompletno namešten. Odmah je useljiv. Agencijska provizija je 50% od ugovorene cene...",II,Opština Voždovac,700.0,2023-04-10,2.0,42.0,Glasinačka,Konjarnik,"Konjarnik, lux,renoviran, namešten ID#15984",https://www.halooglasi.com/nekretnine/izdavanje-stanova/konjarnik-lux-renoviran-namesten-id15984/5425642965428?kid=4
Agencija,Beograd,Izdaje se trosoban prazan stan u Palmira Toljatija. Stan se izdaje isključivo za poslovni prostor. Odmah useljivo. Agencijska provizija je 50% od...,I/4,Opština Novi Beograd,550.0,2023-04-10,3.0,66.0,Palmira Toljatija,Stari Merkator,"Stari merkator, 3.0 prazan, za pp, renoviran ID#91",https://www.halooglasi.com/nekretnine/izdavanje-stanova/stari-merkator-3-0-prazan-za-pp-renoviran-id9/5425642983095?kid=4
Agencija,Beograd,"Lux, 2.0, moderno i sa ukusom sređen i namešten.Odlično pozicioniran, svetao, komforan, otvorenog pogleda, u neposrednoj blizini vrtića, ruske škole,...",IX/10,Opština Novi Beograd,900.0,2023-04-10,2.0,48.0,Jurija Gagarina,Blok 67 (Belvil),"Belvil Promenada, Lux Nov,2.0,Garaža,Miran, Pogled",https://www.halooglasi.com/nekretnine/izdavanje-stanova/belvil-promenada-lux-nov-2-0-garaza-miran-pog/5425636666830?kid=4
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",IV/7,Opština Novi Beograd,550.0,2023-04-11,4.0,78.0,Dr Ivana Ribara,Blok 45 (TC Enjub),Novi Beograd - Blok 45 ID#52093,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---blok-45-id52093/5425642986367?kid=4
Agencija,Beograd,"Provizija: 50% od prve mesečne zakupnine ,",V/10,Opština Novi Beograd,800.0,2023-04-11,2.0,62.0,Jurija Gagarina,Blok 67 (Belvil),Novi Beograd - Belville ID#52358,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---belville-id52358/5425642986366?kid=4
Agencija,Beograd,Garazno mesto se doplacuje 100e.,II/9,Opština Novi Beograd,1000.0,2023-04-11,2.0,55.0,Tadije Sondermajera,Blok 65,Zepterra,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zepterra/5425642765315?kid=4
Agencija,Beograd,"Komforan stan u luksuznom stambeno-poslovnom objektu Bulevar Plaza, potpuno opremljen, odvojena spavaća soba, cg po utrošku, video nadzor, garažno...",III,Opština Zvezdara,850.0,2023-04-10,2.0,52.0,Bulevar kralja Aleksandra,Đeram pijaca,"Bulevar Plaza, lux, novogradnja, garaža, ID 20060",https://www.halooglasi.com/nekretnine/izdavanje-stanova/bulevar-plaza-lux-novogradnja-garaza-id-20060/5425642964852?kid=4
Agencija,Beograd,"Veoma komforan stan u lux naselju A blok, potpuno opremljen, vrlo funkcionalan, poseduje tri spavaće i jednu manju radnu sobu, dva kupatila, dve...",III/7,Opština Novi Beograd,1500.0,2023-04-10,4.5,103.0,Uroša Martinovića,Blok 67a (A blok),"A blok, novogradnja, garaža, ID 19867",https://www.halooglasi.com/nekretnine/izdavanje-stanova/a-blok-novogradnja-garaza-id-19867/5425642871372?kid=4
Vlasnik,Beograd,"Nov, Lux, Dvosoban, 53 m2, penthouse na 6. spratu. Dorćol. Neuseljavan. Kompletno opremljen novim namestajem i opremom (veš mašina, mašina za...",VI/6,Opština Stari grad,1250.0,2023-04-11,2.0,53.0,Dunavska 68,Dorćol,"Dorćol, Nov, Lux, Dvosoban, 53 m2",https://www.halooglasi.com/nekretnine/izdavanje-stanova/dorcol-nov-lux-dvosoban-53-m2/5425642923276?kid=4
Agencija,Beograd,"Rige od Fere, 80m2, po strukturi veliki dnevni boravak i dve spavaće sobe, dva mokra čvora, na II spratu novije stambene zgrade, lift, dvostrano...",II,Opština Stari grad,1100.0,2023-04-11,3.0,80.0,Rige od Fere,Kalemegdan,"Kalemegdan, 80m2, trosoban stan, namešten, terasa",https://www.halooglasi.com/nekretnine/izdavanje-stanova/kalemegdan-80m2-trosoban-stan-namesten-terasa/5425642820577?kid=4
Vlasnik,Beograd,Perfect for work from home professionals. All bills including unlimited high speed internet are 50EUR a month + electricity. No other costs. Beli...,IV/4,Opština Zvezdara,760.0,2023-04-10,3.0,55.0,Bore Prodanovića,Bulbulder,Lux 3.0 apartment ,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-3-0-apartment/5425642984301
